County,SecondDate,Cases_Change,Cases_Change%,Transit_Change,Transit_Change%,Transit_Level,Driving_Change,Driving_Change%,Driving_Level,Walking_Change,Walking_Change%,Walking_Level,Table_Change,Table_Change%,Table_Level
Albany,3/12/2020,2,1,-4.47,-0.033398087,129.37,-2.99,-0.028282255,102.73,-13.83,-0.120334116,101.1,-17,-0.25,51
Bronx,3/12/2020,2,1,-11,-0.124929018,77.05,-4.26,-0.042544692,95.87,-11.93,-0.112749268,93.88,-17,-0.25,51
Kings,3/12/2020,-5,-0.714285714,-9.96,-0.106706664,83.38,-2.74,-0.026458092,100.82,-9.27,-0.08608841,98.41,-17,-0.25,51
Monroe,3/12/2020,2,1,0.6,0.006574622,91.86,-4.1,-0.038519354,102.34,5.11,0.053112982,101.32,-17,-0.25,51
Nassau,3/12/2020,4,0.444444444,-11.27,-0.143274854,67.39,-5.45,-0.054374938,94.78,-5.16,-0.053020962,92.16,-17,-0.25,51
New York,3/12/2020,-9,-0.75,-14.54,-0.194671308,60.15,-9.42,-0.106404609,79.11,-17.08,-0.186076915,74.71,-17,-0.25,51
Queens,3/12/2020,1,0.25,-10.15,-0.122643789,72.61,-3.68,-0.036892231,96.07,-8.13,-0.083823075,88.86,-17,-0.25,51
Suffolk,3/12/2020,9,1.8,-12.53,-0.140203648,76.84,-11.37,-0.103570778,98.41,-11.49,-0.100279281,103.09,-17,-0.25,51
Westchester,3/12/2020,4,0.173913043,-12.1,-0.148612135,69.32,-7.59,-0.078417192,89.2,-9.75,-0.097285971,90.47,-17,-0.25,51
Albany,3/13/2020,-2,-1,-30.84,-0.238386025,98.53,3.94,0.038352964,106.67,14.43,0.14272997,115.53,-5,-0.098039216,46
Bronx,3/13/2020,1,0.5,-0.05,-0.000648929,77,11.28,0.11765933,107.15,11.2,0.119301236,105.08,-5,-0.098039216,46
Kings,3/13/2020,6,3,-1.2,-0.014391941,82.18,9.49,0.094128149,110.31,13.3,0.135148867,111.71,-5,-0.098039216,46
Monroe,3/13/2020,-3,-1.5,-9.34,-0.101676464,82.52,8.49,0.082958765,110.83,4.06,0.040071062,105.38,-5,-0.098039216,46
Nassau,3/13/2020,-3,-0.230769231,1.31,0.019439086,68.7,7.06,0.074488289,101.84,16.05,0.174153646,108.21,-5,-0.098039216,46
New York,3/13/2020,15,5,-5.58,-0.09276808,54.57,-1.74,-0.021994691,77.37,-3.66,-0.048989426,71.05,-5,-0.098039216,46
Queens,3/13/2020,10,2,-0.92,-0.012670431,71.69,9.14,0.095138961,105.21,11.95,0.134481206,100.81,-5,-0.098039216,46
Richmond,3/13/2020,3,3,1.48,0.018509255,81.44,10.16,0.105833333,106.16,22.02,0.23960827,113.92,-5,-0.098039216,46
Suffolk,3/13/2020,-6,-0.428571429,2.92,0.038001041,79.76,9.54,0.096941368,107.95,21.02,0.203899505,124.11,-5,-0.098039216,46
Westchester,3/13/2020,-17,-0.62962963,1.41,0.02034045,70.73,7.03,0.078811659,96.23,9.7,0.107217862,100.17,-5,-0.098039216,46
Albany,3/17/2020,2,0.25,-16.25,-0.218413978,58.15,-10.11,-0.135668277,64.41,-15.53,-0.18545498,68.21,-30,-0.714285714,12
Kings,3/17/2020,13,0.5,-7.64,-0.160977665,39.82,-6.04,-0.078096716,71.3,-5.49,-0.083181818,60.51,-30,-0.714285714,12
Monroe,3/17/2020,-6,-0.666666667,-12.71,-0.18713192,55.21,-8.33,-0.10656262,69.84,-6.93,-0.083504037,76.06,-30,-0.714285714,12
Nassau,3/17/2020,1,0.033333333,-9.26,-0.177462629,42.92,-9.08,-0.121066667,65.92,-6.27,-0.077695167,74.43,-30,-0.714285714,12
New York,3/17/2020,9,0.15,-5.28,-0.230366492,17.64,-6.86,-0.168013715,33.97,-7.15,-0.279733959,18.41,-30,-0.714285714,12
Queens,3/17/2020,-11,-0.224489796,-7.85,-0.172111379,37.76,-6.25,-0.083813866,68.32,-5.8,-0.083309394,63.82,-30,-0.714285714,12
Richmond,3/17/2020,5,0.833333333,-7.19,-0.135099587,46.03,-4.6,-0.062313736,69.22,-7.51,-0.097748275,69.32,-30,-0.714285714,12
Suffolk,3/17/2020,-10,-0.303030303,-5.84,-0.100171527,52.46,-9.62,-0.116889429,72.68,-3.54,-0.037294564,91.38,-30,-0.714285714,12
Westchester,3/17/2020,118,2.80952381,-9.58,-0.194162951,39.76,-7.47,-0.107730026,61.87,-6.56,-0.085953878,69.76,-30,-0.714285714,12
Albany,3/18/2020,1,0.1,2.77,0.047635426,60.92,0.03,0.000465766,64.44,5.77,0.084591702,73.98,-12,-1,0
Bronx,3/18/2020,94,3.24137931,-2.65,-0.054639175,45.85,-1.37,-0.018854941,71.29,1.17,0.016256774,73.14,-12,-1,0
Erie,3/18/2020,5,1.25,-7.88,-0.126019511,54.65,-2.23,-0.03410829,63.15,5.59,0.072418707,82.78,-12,-1,0
Kings,3/18/2020,225,5.769230769,-3.21,-0.080612757,36.61,-4.04,-0.056661992,67.26,-1.53,-0.025285077,58.98,-12,-1,0
Monroe,3/18/2020,2,0.666666667,6.2,0.112298497,61.41,-2.69,-0.038516609,67.15,-0.74,-0.009729161,75.32,-12,-1,0
Nassau,3/18/2020,107,3.451612903,-1.85,-0.043103448,41.07,1.69,0.025637136,67.61,5.07,0.068117694,79.5,-12,-1,0
New York,3/18/2020,92,1.333333333,-2.56,-0.145124717,15.08,-2.87,-0.084486311,31.1,-2.09,-0.113525258,16.32,-12,-1,0
Onondaga,3/18/2020,3,3,-2.5,-0.046589638,51.16,-0.15,-0.002158895,69.33,4.69,0.097323096,52.88,-12,-1,0
Queens,3/18/2020,85,2.236842105,-3.38,-0.089512712,34.38,-3.39,-0.049619438,64.93,-0.7,-0.010968348,63.12,-12,-1,0
Richmond,3/18/2020,15,1.363636364,-5.99,-0.130132522,40.04,-1.54,-0.022247905,67.68,3.66,0.052798615,72.98,-12,-1,0
Suffolk,3/18/2020,-4,-0.173913043,-0.72,-0.013724743,51.74,3.49,0.048018712,76.17,16.8,0.183847669,108.18,-12,-1,0
Westchester,3/18/2020,-2,-0.0125,0.06,0.001509054,39.82,0.66,0.010667529,62.53,2.57,0.036840596,72.33,-12,-1,0
Albany,3/19/2020,-4,-0.363636364,-7.48,-0.122783979,53.44,-2.61,-0.040502793,61.83,-2.78,-0.037577724,71.2,0.02,1,0.02
Bronx,3/19/2020,31,0.25203252,-2.29,-0.049945474,43.56,-4.61,-0.064665451,66.68,-4.87,-0.066584632,68.27,0.02,1,0.02
Erie,3/19/2020,-1,-0.111111111,-6.43,-0.117657823,48.22,-0.28,-0.004433888,62.87,-0.23,-0.002778449,82.55,0.02,1,0.02
Kings,3/19/2020,9,0.034090909,-1.46,-0.039879814,35.15,-2.77,-0.041183467,64.49,-4.62,-0.078331638,54.36,0.02,1,0.02
Monroe,3/19/2020,6,1.2,-10.55,-0.171796124,50.86,0.43,0.006403574,67.58,-1.81,-0.024030802,73.51,0.02,1,0.02
Nassau,3/19/2020,-44,-0.31884058,-6.08,-0.148039932,34.99,-8.57,-0.126756397,59.04,-13.84,-0.17408805,65.66,0.02,1,0.02
New York,3/19/2020,174,1.080745342,-2.15,-0.142572944,12.93,-3.5,-0.112540193,27.6,-2.98,-0.182598039,13.34,0.02,1,0.02
Onondaga,3/19/2020,-3,-0.75,-9.73,-0.190187647,41.43,-1.37,-0.019760565,67.96,-3.46,-0.065431165,49.42,0.02,1,0.02
Queens,3/19/2020,213,1.731707317,-1.37,-0.039848749,33.01,-5.12,-0.078854151,59.81,-7.53,-0.119296578,55.59,0.02,1,0.02
Richmond,3/19/2020,7,0.269230769,1.43,0.035714286,41.47,-2.78,-0.04107565,64.9,-4.97,-0.06810085,68.01,0.02,1,0.02
Suffolk,3/19/2020,104,5.473684211,-4.92,-0.095090839,46.82,-9.5,-0.124721019,66.67,-23.45,-0.216768349,84.73,0.02,1,0.02
Westchester,3/19/2020,102,0.64556962,-5.35,-0.134354596,34.47,-6.23,-0.099632177,56.3,-7.07,-0.09774644,65.26,0.02,1,0.02
Albany,3/20/2020,20,2.857142857,-0.82,-0.015344311,52.62,4.26,0.068898593,66.09,5.23,0.073455056,76.43,0.02,1,0.04
