County,SecondDate,Cases_Change,Cases_Change%,Cases_Level_x,Transit_Change,Transit_Change%,Transit_Level,Cases_Level_y,Driving_Change,Driving_Change%,Driving_Level,Cases_Level,Walking_Change,Walking_Change%,Walking_Level,Table_Change,Table_Change%,Table_Level
0,Albany,2020-03-12,2,1.0,2,-4.469999999999999,-0.033398087268380144,129.37,2,-2.989999999999995,-0.02828225501324248,102.73,2,-13.830000000000013,-0.12033411641868974,101.1,-17.0,-0.25,51.0
1,Bronx,2020-03-12,2,1.0,2,-11.0,-0.1249290176036343,77.05,2,-4.259999999999991,-0.04254469190052922,95.87,2,-11.930000000000007,-0.11274926755505157,93.88,-17.0,-0.25,51.0
2,Kings,2020-03-12,-5,-0.7142857142857143,2,-9.960000000000008,-0.10670666380972796,83.38,2,-2.740000000000009,-0.02645809192738518,100.82,2,-9.27000000000001,-0.08608841010401197,98.41,-17.0,-0.25,51.0
3,Monroe,2020-03-12,2,1.0,2,0.5999999999999943,0.006574621959237281,91.86,2,-4.099999999999994,-0.038519353626456164,102.34,2,5.109999999999999,0.05311298201850119,101.32,-17.0,-0.25,51.0
4,Nassau,2020-03-12,4,0.4444444444444444,13,-11.269999999999996,-0.14327485380116955,67.39,13,-5.450000000000003,-0.05437493764342016,94.78,13,-5.159999999999997,-0.053020961775585664,92.16,-17.0,-0.25,51.0
5,New York,2020-03-12,-9,-0.75,3,-14.54,-0.19467130807336994,60.15,3,-9.420000000000002,-0.1064046086072518,79.11,3,-17.080000000000013,-0.18607691469659016,74.71,-17.0,-0.25,51.0
6,Queens,2020-03-12,1,0.25,5,-10.150000000000006,-0.1226437892701789,72.61,5,-3.680000000000007,-0.03689223057644117,96.07,5,-8.129999999999995,-0.08382307454376736,88.86,-17.0,-0.25,51.0
7,Suffolk,2020-03-12,9,1.8,14,-12.530000000000001,-0.14020364775651786,76.84,14,-11.370000000000005,-0.10357077791947536,98.41,14,-11.489999999999995,-0.10027928085180655,103.09,-17.0,-0.25,51.0
8,Westchester,2020-03-12,4,0.17391304347826086,27,-12.100000000000009,-0.14861213461066086,69.32,27,-7.590000000000003,-0.07841719185866311,89.2,27,-9.75,-0.09728597086409899,90.47,-17.0,-0.25,51.0
9,Albany,2020-03-13,-2,-1.0,0,-30.840000000000003,-0.23838602458066013,98.53,0,3.9399999999999977,0.03835296408059961,106.67,0,14.430000000000007,0.14272997032640958,115.53,-5.0,-0.09803921568627451,46.0
10,Bronx,2020-03-13,1,0.5,3,-0.04999999999999716,-0.0006489292667098917,77.0,3,11.280000000000001,0.11765933034317305,107.15,3,11.200000000000003,0.11930123561994038,105.08,-5.0,-0.09803921568627451,46.0
11,Kings,2020-03-13,6,3.0,8,-1.1999999999999886,-0.014391940513312409,82.18,8,9.490000000000009,0.09412814917675075,110.31,8,13.299999999999997,0.13514886698506248,111.71,-5.0,-0.09803921568627451,46.0
12,Monroe,2020-03-13,-3,-1.5,-1,-9.340000000000003,-0.10167646418462882,82.52,-1,8.489999999999995,0.08295876490130931,110.83,-1,4.060000000000002,0.04007106198183974,105.38,-5.0,-0.09803921568627451,46.0
13,Nassau,2020-03-13,-3,-0.23076923076923078,10,1.3100000000000023,0.01943908591779199,68.7,10,7.060000000000002,0.07448828866849548,101.84,10,16.049999999999997,0.17415364583333331,108.21,-5.0,-0.09803921568627451,46.0
14,New York,2020-03-13,15,5.0,18,-5.579999999999998,-0.09276807980049873,54.57,18,-1.7399999999999949,-0.021994690936670395,77.37,18,-3.6599999999999966,-0.04898942577968139,71.05,-5.0,-0.09803921568627451,46.0
15,Queens,2020-03-13,10,2.0,15,-0.9200000000000017,-0.01267043107010056,71.69,15,9.14,0.09513896117414386,105.21,15,11.950000000000003,0.13448120639207745,100.81,-5.0,-0.09803921568627451,46.0
16,Richmond,2020-03-13,3,3.0,4,1.480000000000004,0.018509254627313707,81.44,4,10.159999999999997,0.1058333333333333,106.16,4,22.019999999999996,0.23960826985854183,113.92,-5.0,-0.09803921568627451,46.0
17,Suffolk,2020-03-13,-6,-0.42857142857142855,8,2.9200000000000017,0.03800104112441439,79.76,8,9.540000000000006,0.09694136774718023,107.95,8,21.019999999999996,0.2038995052866427,124.11,-5.0,-0.09803921568627451,46.0
18,Westchester,2020-03-13,-17,-0.6296296296296297,10,1.4100000000000108,0.020340450086555266,70.73,10,7.030000000000001,0.07881165919282512,96.23,10,9.700000000000003,0.10721786227478726,100.17,-5.0,-0.09803921568627451,46.0
19,Albany,2020-03-17,2,0.25,10,-16.250000000000007,-0.21841397849462374,58.15,10,-10.11,-0.1356682769726248,64.41,10,-15.530000000000001,-0.18545497969906857,68.21,-30.0,-0.7142857142857143,12.0
20,Kings,2020-03-17,13,0.5,39,-7.640000000000001,-0.16097766540244418,39.82,39,-6.040000000000006,-0.07809671580036212,71.3,39,-5.490000000000002,-0.08318181818181822,60.51,-30.0,-0.7142857142857143,12.0
21,Monroe,2020-03-17,-6,-0.6666666666666666,3,-12.71,-0.1871319199057715,55.21,3,-8.329999999999998,-0.10656261993091977,69.84,3,-6.929999999999993,-0.0835040366309193,76.06,-30.0,-0.7142857142857143,12.0
22,Nassau,2020-03-17,1,0.03333333333333333,31,-9.259999999999998,-0.17746262935990798,42.92,31,-9.079999999999998,-0.12106666666666664,65.92,31,-6.269999999999996,-0.0776951672862453,74.43,-30.0,-0.7142857142857143,12.0
23,New York,2020-03-17,9,0.15,69,-5.280000000000001,-0.23036649214659688,17.64,69,-6.859999999999999,-0.16801371540533921,33.97,69,-7.149999999999999,-0.2797339593114241,18.41,-30.0,-0.7142857142857143,12.0
24,Queens,2020-03-17,-11,-0.22448979591836735,38,-7.850000000000001,-0.17211137908353435,37.76,38,-6.25,-0.08381386616601852,68.32,38,-5.800000000000004,-0.08330939385234133,63.82,-30.0,-0.7142857142857143,12.0
25,Richmond,2020-03-17,5,0.8333333333333334,11,-7.189999999999998,-0.1350995866215708,46.03,11,-4.599999999999994,-0.062313736114873945,69.22,11,-7.510000000000005,-0.0977482754132501,69.32,-30.0,-0.7142857142857143,12.0
26,Suffolk,2020-03-17,-10,-0.30303030303030304,23,-5.839999999999996,-0.10017152658662087,52.46,23,-9.61999999999999,-0.11688942891859042,72.68,23,-3.5400000000000063,-0.037294563843236476,91.38,-30.0,-0.7142857142857143,12.0
27,Westchester,2020-03-17,118,2.8095238095238093,160,-9.580000000000005,-0.19416295095257408,39.76,160,-7.470000000000006,-0.10773002595904248,61.87,160,-6.559999999999988,-0.08595387840670844,69.76,-30.0,-0.7142857142857143,12.0
28,Albany,2020-03-18,1,0.1,11,2.770000000000003,0.04763542562338784,60.92,11,0.030000000000001137,0.00046576618537495947,64.44,11,5.77000000000001,0.08459170209646695,73.98,-12.0,-1.0,0.0
29,Bronx,2020-03-18,94,3.2413793103448274,123,-2.6499999999999986,-0.05463917525773193,45.85,123,-1.3699999999999903,-0.018854940820258608,71.29,123,1.1700000000000017,0.016256773655689893,73.14,-12.0,-1.0,0.0
30,Erie,2020-03-18,5,1.25,9,-7.880000000000003,-0.12601951063489528,54.65,9,-2.229999999999997,-0.03410828999694091,63.15,9,5.590000000000003,0.0724187070864102,82.78,-12.0,-1.0,0.0
31,Kings,2020-03-18,225,5.769230769230769,264,-3.210000000000001,-0.08061275740833754,36.61,264,-4.039999999999992,-0.056661991584852626,67.26,264,-1.5300000000000011,-0.0252850768468022,58.98,-12.0,-1.0,0.0
32,Monroe,2020-03-18,2,0.6666666666666666,5,6.199999999999996,0.11229849664915768,61.41,5,-2.6899999999999977,-0.03851660939289802,67.15,5,-0.7400000000000091,-0.009729161188535486,75.32,-12.0,-1.0,0.0
33,Nassau,2020-03-18,107,3.4516129032258065,138,-1.8500000000000014,-0.0431034482758621,41.07,138,1.6899999999999977,0.02563713592233006,67.61,138,5.069999999999993,0.06811769447803295,79.5,-12.0,-1.0,0.0
34,New York,2020-03-18,92,1.3333333333333333,161,-2.5600000000000005,-0.145124716553288,15.08,161,-2.8699999999999974,-0.08448631145128047,31.1,161,-2.09,-0.11352525801195001,16.32,-12.0,-1.0,0.0
35,Onondaga,2020-03-18,3,3.0,4,-2.5,-0.04658963846440552,51.16,4,-0.15000000000000568,-0.0021588946459413596,69.33,4,4.690000000000005,0.09732309607802458,52.88,-12.0,-1.0,0.0
